,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
57,Health Care Services & Hospitals,Data Analyst,2.6,Unknown / Non-Applicable,Health Care,501 to 1000 employees,Nonprofit Organization,0,0,169,266,217.5,Comprehensive Healthcare,Yakima,Yakima,1,49,0,0,0,0,0,0,0
58,-1,Jr. Big Data Engineer,2.8,Unknown / Non-Applicable,-1,51 to 200 employees,Company - Private,0,0,169,266,217.5,Enhance IT,New York,Atlanta,0,-1,1,0,0,0,0,0,0
59,Enterprise Software & Network Solutions,Data Scientist,4.5,Less than $1 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,169,266,217.5,Avlino,New Jersey,Holmdel,0,7,1,0,1,0,0,0,1
60,Enterprise Software & Network Solutions,Data Scientist,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,169,266,217.5,Novetta,Herndon,Mc Lean,0,8,1,0,0,1,1,0,1
61,Advertising & Marketing,Data Analyst,2.7,$1 to $2 billion (USD),Business Services,1001 to 5000 employees,Company - Public,0,0,169,266,217.5,comScore,Reston,Reston,1,21,1,0,0,0,1,0,0
62,Energy,"Data Scientist - Statistics, Early Career",3.8,$500 million to $1 billion (USD),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,0,0,68,111,89.5,Pacific Northwest National Laboratory,Seattle,Richland,0,55,0,0,0,0,1,0,1
63,Telecommunications Services,Data Scientist/Machine Learning,3.8,$2 to $5 billion (USD),Telecommunications,5001 to 10000 employees,Company - Public,0,0,68,111,89.5,Juniper Networks,Cupertino,Sunnyvale,0,24,1,0,1,1,1,0,1
64,-1,Food Scientist,3.6,$10 to $25 million (USD),-1,1 to 50 employees,Subsidiary or Business Segment,0,0,68,111,89.5,SupHerb Farms,Turlock,Turlock,1,-1,0,0,0,0,1,0,0
65,Banks & Credit Unions,(Sr.) Data Scientist -,3.6,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,68,111,89.5,Merrick Bank,Utah,South Jordan,0,23,1,0,0,1,1,0,1
66,Insurance Carriers,Data Scientist,3.5,$10 to $25 million (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,68,111,89.5,Plymouth Rock Assurance,Boston,Boston,1,38,1,0,0,0,1,1,1
67,Staffing & Outsourcing,Senior Data Scientist,3.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,68,111,89.5,Group O,Chicago,Milan,0,46,1,0,0,0,0,0,1
68,Architectural & Engineering Services,Project Scientist,3.7,$25 to $50 million (USD),Business Services,51 to 200 employees,Unknown,0,0,68,111,89.5,Alliance Source Testing,Alabaster,Decatur,0,20,0,0,0,0,0,0,0
69,Enterprise Software & Network Solutions,"Machine Learning Engineer (Palo Alto, CA or Remote US)",4.2,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,68,111,89.5,Eversight,Remote,Palo Alto,0,7,1,0,0,0,1,0,1
70,Lending,Credit Analytics Manager,4.0,Unknown / Non-Applicable,Finance,51 to 200 employees,Company - Private,0,0,68,111,89.5,Liberty Lending,New York,New York,1,5,1,0,0,0,1,0,0
71,Federal Agencies,AI Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,68,111,89.5,MITRE,McLean,Bedford,0,62,1,0,0,0,0,0,1
72,Enterprise Software & Network Solutions,"Data Scientist, Acorn AI Labs",4.3,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,68,111,89.5,Medidata Solutions,Boston,New York,0,21,1,0,0,1,0,0,1
73,Industrial Manufacturing,Research Scientist,3.2,$2 to $5 billion (USD),Manufacturing,1001 to 5000 employees,Company - Public,0,0,68,111,89.5,James Hardie,Fontana,Chicago,0,132,0,0,0,0,1,0,0
74,Computer Hardware & Software,Data Scientist,4.7,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,68,111,89.5,Oversight Systems,Atlanta,Atlanta,1,17,1,0,0,0,1,0,1
75,Aerospace & Defense,Data Analyst,3.6,$2 to $5 billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,68,111,89.5,CACI International,Chantilly,Arlington,0,58,0,0,1,0,1,1,0
76,TV Broadcast & Cable Networks,Data Engineer,3.0,Unknown / Non-Applicable,Media,201 to 500 employees,Company - Private,0,0,68,111,89.5,Cadent,Philadelphia,New York,0,-1,1,0,1,1,0,0,0
77,Biotech & Pharmaceuticals,"Associate Scientist / Sr. Associate Scientist, Immuno-oncology",4.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,68,111,89.5,23andMe,South San Francisco,Sunnyvale,0,14,0,0,0,1,1,0,0
78,Computer Hardware & Software,Senior Data Scientist,4.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,68,111,89.5,SparkPost,Remote,Columbia,0,12,1,0,1,0,0,0,1
79,Wholesale,"Director, Data Science",3.6,$10+ billion (USD),Business Services,10000+ employees,Company - Public,0,0,68,111,89.5,Grainger,Lake Forest,Lake Forest,1,93,1,0,0,0,1,0,1
80,Computer Hardware & Software,Sr Data Scientist,4.5,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,68,111,89.5,HG Insights,Santa Barbara,Santa Barbara,1,10,1,0,1,0,1,0,1
81,Advertising & Marketing,Lead Data Scientist,3.9,$100 to $500 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,68,111,89.5,PatientPoint,Cincinnati,Cincinnati,1,33,1,0,0,0,1,0,1
82,Health Care Services & Hospitals,"Medical Lab Scientist,Lab Core, Casual/PRN/Evening hours",3.7,Unknown / Non-Applicable,Health Care,1001 to 5000 employees,Nonprofit Organization,0,0,68,111,89.5,Children's Hospital & Medical Center - Omaha,Omaha,Omaha,1,72,0,0,0,0,0,0,0
83,IT Services,Director of Data Science,4.8,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,68,111,89.5,KnowBe4,Clearwater,Clearwater,1,10,1,0,1,1,0,0,1
84,Internet,Senior Data Scientist,3.6,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,68,111,89.5,Steady,Atlanta,Atlanta,1,3,1,0,1,1,1,1,1
85,Computer Hardware & Software,Senior Data Scientist,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,68,111,89.5,Klaviyo,Boston,Boston,1,8,0,0,0,0,0,0,1
86,Aerospace & Defense,Machine Learning Engineer,4.5,$100 to $500 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,68,111,89.5,Systems & Technology Research,Woburn,Woburn,1,10,1,0,0,0,1,0,1
87,Health Care Services & Hospitals,Data Scientist,4.6,$1 to $2 billion (USD),Health Care,1001 to 5000 employees,Nonprofit Organization,0,0,68,111,89.5,St. Jude Children's Research Hospital,Memphis,Memphis,1,58,1,0,1,0,1,0,1
88,Biotech & Pharmaceuticals,Field Applications Scientist,2.9,$25 to $50 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,68,111,89.5,Rapid Micro Biosystems,Lowell,Lowell,1,14,0,0,0,0,0,0,0
89,Consumer Products Manufacturing,Quality Systems Data Science Engineer,3.7,$2 to $5 billion (USD),Manufacturing,1001 to 5000 employees,Company - Public,0,0,68,111,89.5,Mercury Marine,Fond du Lac,Fond du Lac,1,81,0,0,0,0,1,0,0
90,Consulting,Data Scientist,4.5,Unknown / Non-Applicable,Business Services,51 to 200 employees,Company - Private,0,0,68,111,89.5,TACG Solutions,Dayton,Beavercreek,0,14,1,0,0,0,1,1,0
91,Biotech & Pharmaceuticals,Data Engineer,3.2,$100 to $500 million (USD),Biotech & Pharmaceuticals,1001 to 5000 employees,Nonprofit Organization,0,0,68,111,89.5,US Pharmacopeia,Rockville,Rockville,1,200,1,0,1,1,0,0,0
92,TV Broadcast & Cable Networks,Data Scientist,3.5,$500 million to $1 billion (USD),Media,5001 to 10000 employees,Company - Public,0,0,68,111,89.5,The E.W. Scripps Company,Washington,Cincinnati,0,142,1,0,0,0,0,1,0
93,Computer Hardware & Software,Data Engineer,3.7,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,68,111,89.5,Zylotech,Cambridge,Cambridge,1,6,0,0,1,1,0,0,0
94,Computer Hardware & Software,Data Scientist,3.2,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,55,91,73.0,NAVEX Global,Lake Oswego,Lake Oswego,1,8,1,0,1,0,0,1,1
95,Architectural & Engineering Services,Jr Data Scientist-D&I,3.8,$10+ billion (USD),Business Services,10000+ employees,Company - Private,0,0,55,91,73.0,Bechtel,Reston,Reston,1,122,1,0,1,1,1,0,1
96,Enterprise Software & Network Solutions,Data Analyst II,4.0,$5 to $10 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,0,0,55,91,73.0,"Insight Enterprises, Inc.",Plano,Tempe,0,32,0,0,0,0,1,0,0
98,Health Care Services & Hospitals,Associate Enterprise Data Analyst,3.4,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Private,0,0,55,91,73.0,Remedi SeniorCare,Towson,Baltimore,0,18,0,0,0,0,1,1,0
99,Architectural & Engineering Services,Statistician & Data Analysis Scientist,3.6,Unknown / Non-Applicable,Business Services,201 to 500 employees,Company - Private,0,0,55,91,73.0,FDH Infrastructure Services,Raleigh,Raleigh,1,26,0,0,0,0,0,0,1
100,Aerospace & Defense,Principal Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,55,91,73.0,Northrop Grumman,Hill AFB,Falls Church,0,81,1,0,0,0,0,0,1
101,Colleges & Universities,Remote Sensing Data Scientist,3.8,Unknown / Non-Applicable,Education,501 to 1000 employees,College / University,0,0,55,91,73.0,Applied Research Laboratories,Austin,Austin,1,-1,0,0,0,1,0,0,0
102,Computer Hardware & Software,"Senior Data Scientist, Education",3.4,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,55,91,73.0,Chan Zuckerberg Initiative,Redwood City,Redwood City,1,5,1,0,0,0,1,0,0
103,Internet,Staff Data Scientist,2.7,Unknown / Non-Applicable,Information Technology,1001 to 5000 employees,Company - Private,0,0,55,91,73.0,realtor.com,Santa Clara,Santa Clara,1,27,1,0,1,0,1,0,1
104,Enterprise Software & Network Solutions,Data Scientist,3.9,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,55,91,73.0,Quartet Health,New York,New York,1,6,1,0,0,0,0,0,1
105,Banks & Credit Unions,Data Engineer,4.8,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,55,91,73.0,NBKC Bank,Kansas City,Overland Park,0,21,1,0,0,0,0,0,1
106,Biotech & Pharmaceuticals,Data Scientist,3.7,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,55,91,73.0,Takeda,Cambridge,OSAKA,0,239,1,0,1,0,0,0,1
107,Enterprise Software & Network Solutions,"Data Scientist, Medidata - Core",4.3,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,Medidata Solutions,New York,New York,1,21,1,0,0,1,0,0,1
108,Computer Hardware & Software,Senior Data Scientist,4.0,$2 to $5 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,0,0,55,91,73.0,Autodesk,San Francisco,San Rafael,0,38,1,0,1,0,0,1,1
109,Transportation Management,"Data Analyst III, Operations and Maintenance Oversight",2.9,$25 to $50 million (USD),Transportation & Logistics,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,Capital Metro,Austin,Austin,1,35,0,0,0,0,1,0,0
110,Food Production,Technical Data Analyst,4.0,$2 to $5 billion (USD),Agriculture & Forestry,10000+ employees,Company - Private,0,0,55,91,73.0,"Dole Food Company, Inc.",Westlake Village,Charlotte,0,119,0,1,0,0,0,1,0
112,Banks & Credit Unions,Data Analyst,3.1,$10+ billion (USD),Finance,10000+ employees,Company - Public,0,0,55,91,73.0,MUFG,Tempe,Tokyo,0,156,1,0,1,1,1,0,0
113,Insurance Agencies & Brokerages,Data Analyst,3.2,$100 to $500 million (USD),Insurance,1001 to 5000 employees,Subsidiary or Business Segment,0,0,55,91,73.0,Allied Solutions,Carmel,Carmel,1,19,1,0,0,0,1,1,0
114,Industrial Manufacturing,Senior Application Scientist,3.5,Unknown / Non-Applicable,Manufacturing,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,Onto Innovation,Hillsboro,Wilmington,0,1,1,0,0,0,0,0,1
115,Biotech & Pharmaceuticals,Research Associate/Associate Scientist/Scientist-Chemical Development,4.8,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,55,91,73.0,Dicerna,Boulder,Lexington,0,13,0,0,0,0,1,0,0
116,Banks & Credit Unions,Marketing Data Analyst,3.7,$100 to $500 million (USD),Finance,501 to 1000 employees,Other Organization,0,0,55,91,73.0,Ent Credit Union,Colorado Springs,Colorado Springs,1,63,0,0,0,0,1,1,0
117,Consulting,Sales Ops Data Analyst,3.3,$2 to $5 billion (USD),Business Services,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,TriNet,Fort Mill,Dublin,0,32,0,0,0,1,1,1,0
118,Enterprise Software & Network Solutions,Data Analytics Engineer,3.5,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,55,91,73.0,QOMPLX,Reston,Reston,1,5,1,0,1,0,0,0,1
119,Computer Hardware & Software,Product Data Analyst,3.2,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,Stamps.com,El Segundo,El Segundo,1,24,0,0,0,0,1,1,0
120,IT Services,Data Scientist (SME),4.0,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,55,91,73.0,Development InfoStructure,Arlington,Arlington,1,28,1,0,0,0,1,1,0
121,Enterprise Software & Network Solutions,Data Scientist,3.9,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,55,91,73.0,CSG,Denver,Denver,1,26,1,0,0,1,0,0,0
122,IT Services,Data Scientist,4.7,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,55,91,73.0,1904labs,Saint Louis,Saint Louis,1,4,1,0,1,0,0,0,1
123,Biotech & Pharmaceuticals,Sr Data Analyst,2.3,$100 to $500 million (USD),Biotech & Pharmaceuticals,1001 to 5000 employees,Other Organization,0,0,55,91,73.0,United BioSource,Blue Bell,Blue Bell,1,17,0,0,0,0,1,1,0
124,Telecommunications Services,Data Engineer,3.8,$2 to $5 billion (USD),Telecommunications,5001 to 10000 employees,Company - Public,0,0,55,91,73.0,Juniper Networks,Cupertino,Sunnyvale,0,24,1,0,1,1,0,0,1
125,Banks & Credit Unions,Analytic Consultant 2,3.7,$10+ billion (USD),Finance,10000+ employees,Company - Public,0,0,55,91,73.0,Wells Fargo,Minneapolis,San Francisco,0,168,1,0,0,0,1,0,0
